10001	卡五星	1	1
10002	荆楚晃晃	1	1
10003	红中癞子杠	1	1
10004	晃晃麻将	1	1
10005	红中麻将	1	1
10006	血战到底	1	1
10007	七皮四癞	1	1
10008	十一皮四癞	1	1
10009	中发白杠	1	1
10010	一脚癞油	1	1
10011	宜昌血流	1	1
10012	武汉麻将	1	1
10013	四川血流	1	1
10014	赤壁剁刀	1	1
10015	贵阳捉鸡	1	1
10016	转转麻将	1	1
10017	长沙麻将	1	1
10018	武汉晃晃	1	1
10019	麻城麻将	1	1
10020	仙桃晃晃	1	1
10021	抠点	1	1
10022	推倒胡	1	1
10023	阳新麻将	1	1
10024	黄石晃晃	1	1
10025	福州麻将	1	1
10026	益阳麻将	1	1
20001	跑的快	1	1
20002	斗地主	1	1
20003	拼十	1	2
20004	打拱	1	1
20005	拼三张	1	2
20006	福州五十K	1	1
20007	升级	1	1
20008	十三水	1	2
20009	大菠萝	1	2
20010	干瞪眼	1	2
20011	扯拉克	1	1
20012	牌九	1	1
20013	三公	1	2
20014	填大坑	1	2
20015	德州	1	2
20016	至尊五张	1	2
20017	疯狂金花	1	2
20018	抢庄牌九	1	2
20019	加锅牌九	1	1
20020	21点	1	2
30001	红包埋雷	1	3
30002	百人拼十	1	3
30003	世界大战	1	3
30004	二八筒子	1	3
30005	龙虎斗	1	3
30006	红黑大战	1	3
30007	金鲨银鲨	1	3
30008	百家乐	1	3
30009	黑红梅方	1	3
30010	红包雨	1	3
30011	豹子王	1	3
40001	大冶字牌	1	1
100001	桌球	1	0
100004	一个不能死	1	0
100019	疯狂弹珠	1	0
100020	球球大作战	1	0
100021	棍子闯关	1	0
100022	2048六角消除	1	0
100023	水管闯关	1	0
100024	连续跳跃	1	0
100025	黄金矿工	1	0
