1	1	1	1	1	1
2	2	2	2	2	2
3	2	2	2	2	2
4	2	2	2	2	2
5	4	4	4	4	4
6	4	4	4	4	4
7	4	4	4	4	4
8	4	4	4	4	4
9	4	4	4	4	4
10	8	8	8	8	8
11	8	8	8	8	8
12	16	16	8	8	16
13	32	32	32	32	32
14	16	16	16	16	16
51	8	8	8	8	8
52	16	16	16	16	16
53	16	16	16	16	16
54	8	8	8	8	8
55	8	8	8	8	8
56	16	16	16	16	16
57	32	32	32	32	32
58	64	64	64	64	64
59	128	128	128	128	128
60	16	16	16	16	16
61	8	8	8	8	8
62	8	8	8	8	8
63	16	16	16	16	16
64	8	8	8	8	8
65	16	16	16	16	16
66	32	32	32	32	32
67	16	16	16	16	16
68	16	16	16	16	16
69	32	32	32	32	32
70	16	16	16	16	16
71	32	32	32	32	32
72	4	4	4	4	4
73	8	8	8	8	8
74	2	4	2	2	2
75	4	8	4	4	4
76	4	8	4	4	4
77	4	8	4	4	4
78	8	16	8	8	8
79	8	16	8	8	8
80	8	16	8	8	8
81	16	32	16	16	16
82	16	32	16	16	16
83	16	32	16	16	16
84	32	32	32	32	32
85	32	32	32	32	32
