1	1	10001	8	1
2	1	10001	16	2
3	1	10001	32	4
4	2	10001	8	1
5	1	10002	8	5
6	1	10002	16	10
7	2	10002	1	1
8	1	10003	8	5
9	1	10003	16	10
10	2	10003	1	1
11	1	10004	8	5
12	1	10004	16	10
13	2	10004	1	1
14	1	10005	8	5
15	1	10005	16	10
16	2	10005	1	1
17	1	10006	8	5
18	1	10006	16	10
19	2	10006	1	1
20	1	10007	8	5
21	1	10007	16	10
22	2	10007	1	1
23	1	10008	8	5
24	1	10008	16	10
25	2	10008	1	1
26	1	10009	8	5
27	1	10009	16	10
28	2	10009	1	1
29	1	10010	8	5
30	1	10010	16	10
31	2	10010	1	1
32	1	10011	8	5
33	1	10011	16	10
34	2	10011	1	1
35	1	10012	8	1
36	1	10012	16	2
37	2	10012	8	1
38	1	10013	8	5
39	1	10013	16	10
40	2	10013	1	1
41	1	10014	8	5
42	1	10014	16	10
43	2	10014	1	1
44	1	10015	8	5
45	1	10015	16	10
46	2	10015	1	1
47	1	10016	8	5
48	1	10016	16	10
49	2	10016	1	1
50	1	10017	8	5
51	1	10017	16	10
52	2	10017	1	1
53	1	10018	8	5
54	1	10018	16	10
55	2	10018	1	1
56	1	10019	8	5
57	1	10019	16	10
58	2	10019	1	1
59	1	10020	8	5
60	1	10020	16	10
61	2	10020	1	1
62	1	10021	8	1
63	1	10021	16	2
64	2	10021	8	1
65	1	10022	8	5
66	1	10022	16	10
67	2	10022	1	1
68	1	10023	8	5
69	1	10023	16	10
70	2	10023	1	1
71	1	10024	8	5
72	1	10024	16	10
73	2	10024	1	1
74	1	10025	8	5
75	1	10025	16	10
76	2	10025	1	1
77	1	10026	8	5
78	1	10026	16	10
79	2	10026	1	1
80	1	20001	8	1
81	1	20001	16	2
82	2	20001	8	1
83	1	20002	8	1
84	1	20002	16	2
85	2	20002	8	1
86	1	20003	10	10
87	1	20003	20	20
88	1	20003	30	30
89	2	20003	1	3
90	1	20004	8	5
91	1	20004	16	10
92	2	20004	1	1
93	1	20005	6	6
94	1	20005	12	12
95	2	20005	1	3
96	1	20006	8	5
97	1	20006	16	10
98	2	20006	1	1
99	1	20007	8	5
100	1	20007	16	10
101	1	20007	32	20
102	2	20007	1	1
103	1	20008	10	10
104	1	20008	20	20
105	1	20008	30	30
106	2	20008	1	3
107	1	20009	10	10
108	1	20009	20	20
109	1	20009	30	30
110	2	20009	1	2
111	1	20010	10	10
112	1	20010	20	20
113	1	20010	30	30
114	2	20010	1	2
115	1	20011	10	10
116	1	20011	20	20
117	1	20011	30	30
118	2	20011	1	2
119	1	20012	8	5
120	1	20012	16	10
121	1	20012	32	20
122	2	20012	1	1
123	1	20013	10	10
124	1	20013	20	20
125	1	20013	30	30
126	2	20013	1	2
127	1	20014	10	10
128	1	20014	20	20
129	1	20014	30	30
130	2	20014	1	2
131	1	20015	10	10
132	1	20015	20	20
133	1	20015	30	30
134	2	20015	1	2
135	1	20016	10	10
136	1	20016	20	20
137	1	20016	50	50
138	2	20016	1	2
139	1	20017	6	12
140	1	20017	12	20
141	2	20017	1	2
142	1	20018	10	10
143	1	20018	20	20
144	1	20018	30	30
145	2	20018	1	2
146	1	20019	10	10
147	1	20019	20	20
148	1	20019	30	30
149	2	20019	1	10
150	1	20020	10	10
151	1	20020	20	20
152	1	20020	50	50
153	2	20020	1	2
154	2	30001	1	3
155	2	30002	1	3
156	2	30003	1	3
157	2	30004	1	3
158	2	30005	1	3
159	2	30006	1	3
160	2	30007	1	3
161	2	30008	1	3
162	2	30009	1	3
163	2	30010	1	3
100001	3	0	0	3
100002	4	0	0	3
100003	5	10025	1	5
100004	6	0	0	6
100005	7	0	0	3
170	2	10001	16	2
171	2	20001	16	2
172	2	10012	16	2
173	2	20002	16	2
174	2	10021	16	2
