1	1	10001	10,11,12,32,14,15,16,32,15,16,32,17,19
2	1	10001	33,33,33,32,32,34,34,19,19,20,26,21,25
3	1	10001	10,10,10,10,11,12,15,16,17,20,22,21,34
4	1	10001	19,19,20,20,22,24,27,27,27,13,15,14,32
5	1	10001	32,33,32,33,10,10,11,11,12,12,14,13,15
6	1	10001	12,12,12,14,15,16,18,18,20,20,22,21,23
7	1	10001	14,14,15,16,17,19,19,19,20,21,23,22,24
8	1	10001	10,11,12,15,15,19,19,20,20,20,33,21,33
9	1	10001	11,11,11,11,12,13,15,16,17,33,19,33,19
10	1	10001	13,14,15,16,17,21,21,21,25,25,27,25,27
11	1	10001	32,32,33,33,34,34,34,19,20,21,23,22,24
12	1	10001	10,11,12,15,15,15,19,20,20,20,33,21,33
13	1	10001	19,19,19,20,21,22,22,23,24,27,26,27,33
14	1	10001	10,10,10,10,11,11,13,13,15,15,32,17,33
15	1	10001	13,14,15,14,15,17,17,19,19,19,33,33,33
16	1	10001	13,13,13,16,16,16,17,18,20,20,26,20,26
17	1	10001	32,32,33,33,34,34,10,10,15,15,27,27,27
18	1	10001	11,12,12,13,13,14,15,16,19,19,32,19,33
19	1	10001	19,19,19,22,22,32,32,33,33,11,17,15,10
20	1	10001	15,15,15,18,18,11,11,12,13,20,26,20,26
21	2	10001	10,10,11,12,13,16,17,18,19,19,27,26,27;32,32,33,33,13,14,15,20,19,19,21,20,22
22	2	10001	11,11,12,13,15,16,17,18,32,32,26,25,27;10,10,10,11,12,13,15,15,19,19,21,20,20
23	2	10001	15,16,17,13,13,19,19,20,21,21,32,32,32;33,33,19,20,21,13,15,17,17,18,10,10,10
24	2	10001	10,10,11,12,13,15,15,19,19,20,32,20,32;19,20,21,22,23,22,23,16,16,16,33,32,33
25	2	10001	10,11,11,12,13,15,15,16,17,20,32,20,32;10,11,12,11,12,22,23,24,16,16,33,32,33
26	2	10001	12,13,14,15,16,16,15,10,10,20,32,20,32;32,32,19,19,19,20,21,22,26,27,34,25,33
27	2	10001	11,13,12,11,12,19,19,19,22,23,32,24,32;10,10,10,10,11,12,21,22,23,27,34,25,34
28	2	10001	11,13,12,11,12,19,20,21,22,23,32,24,32;10,10,10,27,11,12,21,22,23,27,34,25,34
29	2	10001	19,20,21,11,12,19,20,21,22,23,32,24,32;26,26,26,27,11,12,21,22,23,27,34,25,34
30	2	10001	32,32,32,32,10,11,12,11,12,13,25,24,25;15,16,17,18,18,19,19,20,21,22,26,25,27
31	2	10001	34,34,34,32,10,11,12,11,12,13,25,24,25;11,12,13,15,16,17,19,20,21,22,26,24,27
