1	3	21	1	15	1	15	1	1	202
2	14	21	1	15	1	15	1	1	215
3	15	21	1	15	1	15	1	1	215
4	8	12	2	12	1	12	1	4	219
5	8	13	2	12	1	12	1	4	219
6	18	21	0	10	10	10	10	6	6
7	1	13	3	9	1	9	1	7	198
8	1	12	3	9	1	9	1	7	198
9	2	12	4	8	1	8	1	9	200
10	2	13	4	8	1	8	1	9	200
11	1	1	0	8	8	5	5	11	11
12	2	2	0	8	8	5	5	12	12
13	3	3	0	8	8	5	5	13	13
14	4	4	0	8	8	5	5	14	14
15	5	5	0	7	7	5	5	15	15
16	6	6	0	7	7	5	5	16	16
17	7	7	0	7	7	5	5	17	17
18	8	8	0	6	6	5	5	18	18
19	9	9	0	6	6	5	5	19	19
20	10	10	0	6	6	5	5	20	20
21	11	11	0	6	6	5	5	21	21
22	12	13	0	5	5	5	5	22	22
23	14	15	0	5	5	5	5	23	23
24	16	17	0	5	5	5	5	24	24
25	19	20	0	5	5	5	5	25	25
26	1	3	0	4	4	4	4	26	26
27	1	14	0	4	4	4	4	26	26
28	1	15	0	4	4	4	4	26	26
29	2	3	0	4	4	4	4	29	29
30	2	14	0	4	4	4	4	29	29
31	2	15	0	4	4	4	4	29	29
32	1	10	0	3	3	3	3	32	32
33	1	16	0	3	3	3	3	32	32
34	1	17	0	3	3	3	3	32	32
35	2	10	0	3	3	3	3	35	35
36	2	16	0	3	3	3	3	35	35
37	2	17	0	3	3	3	3	35	35
38	3	8	0	3	3	3	3	38	38
39	4	19	0	3	3	3	3	39	39
40	4	20	0	3	3	3	3	39	39
41	5	12	0	3	3	3	3	41	41
42	5	13	0	3	3	3	3	41	41
43	6	21	0	3	3	3	3	41	41
44	7	19	0	3	3	3	3	41	41
45	7	20	0	3	3	3	3	41	41
46	8	14	0	3	3	3	3	46	46
47	8	15	0	3	3	3	3	46	46
48	9	12	0	3	3	3	3	46	46
49	9	13	0	3	3	3	3	46	46
50	11	21	0	3	3	3	3	46	46
51	1	6	0	2	2	2	2	51	51
52	1	11	0	2	2	2	2	51	51
53	1	18	0	2	2	2	2	51	51
54	2	6	0	2	2	2	2	54	54
55	2	11	0	2	2	2	2	54	54
56	2	18	0	2	2	2	2	54	54
57	3	5	0	2	2	2	2	57	57
58	3	9	0	2	2	2	2	57	57
59	4	7	0	2	2	2	2	59	59
60	5	14	0	2	2	2	2	60	60
61	5	15	0	2	2	2	2	60	60
62	8	10	0	2	2	2	2	62	62
63	8	16	0	2	2	2	2	62	62
64	8	17	0	2	2	2	2	62	62
65	9	14	0	2	2	2	2	62	62
66	9	15	0	2	2	2	2	62	62
67	19	21	0	2	2	2	2	67	67
68	20	21	0	2	2	2	2	67	67
69	1	19	0	1	1	1	1	69	69
70	1	20	0	1	1	1	1	69	69
71	2	19	0	1	1	1	1	71	71
72	2	20	0	1	1	1	1	71	71
73	3	12	0	1	1	1	1	73	73
74	3	13	0	1	1	1	1	73	73
75	4	21	0	1	1	1	1	75	75
76	5	10	0	1	1	1	1	76	76
77	5	16	0	1	1	1	1	76	76
78	5	17	0	1	1	1	1	76	76
79	6	8	0	1	1	1	1	76	76
80	7	21	0	1	1	1	1	76	76
81	8	11	0	1	1	1	1	81	81
82	8	18	0	1	1	1	1	81	81
83	9	10	0	1	1	1	1	81	81
84	9	16	0	1	1	1	1	81	81
85	9	17	0	1	1	1	1	81	81
86	12	14	0	1	1	1	1	86	86
87	12	15	0	1	1	1	1	86	86
88	13	14	0	1	1	1	1	86	86
89	13	15	0	1	1	1	1	86	86
90	1	4	0	1	1	1	1	90	90
91	1	7	0	1	1	1	1	90	90
92	2	4	0	1	1	1	1	92	92
93	2	7	0	1	1	1	1	92	92
94	3	14	0	1	1	1	1	94	94
95	3	15	0	1	1	1	1	94	94
